,visit_id,cookie_id,page_id,event_type,sequence_number,event_time
0,ccf365,c4ca42,1,1,1,2020-02-04 19:16:09.182546
1,ccf365,c4ca42,2,1,2,2020-02-04 19:16:17.358191
2,ccf365,c4ca42,6,1,3,2020-02-04 19:16:58.454669
3,ccf365,c4ca42,9,1,4,2020-02-04 19:16:58.609142
4,ccf365,c4ca42,9,2,5,2020-02-04 19:17:51.72942
5,ccf365,c4ca42,10,1,6,2020-02-04 19:18:11.605815
6,ccf365,c4ca42,10,2,7,2020-02-04 19:19:10.570786
7,ccf365,c4ca42,11,1,8,2020-02-04 19:19:46.911728
8,ccf365,c4ca42,11,2,9,2020-02-04 19:20:45.27469
9,ccf365,c4ca42,12,1,10,2020-02-04 19:20:52.307244
10,ccf365,c4ca42,13,3,11,2020-02-04 19:21:26.242563
11,d58cbd,c81e72,1,1,1,2020-01-18 23:40:54.761906
12,d58cbd,c81e72,2,1,2,2020-01-18 23:41:06.391027
13,d58cbd,c81e72,4,1,3,2020-01-18 23:42:02.213001
14,d58cbd,c81e72,4,2,4,2020-01-18 23:42:02.370046
15,d58cbd,c81e72,5,1,5,2020-01-18 23:42:44.717024
16,d58cbd,c81e72,5,2,6,2020-01-18 23:43:11.121855
17,d58cbd,c81e72,7,1,7,2020-01-18 23:43:25.806239
18,d58cbd,c81e72,8,1,8,2020-01-18 23:43:40.537995
19,d58cbd,c81e72,8,2,9,2020-01-18 23:44:14.026393
20,d58cbd,c81e72,10,1,10,2020-01-18 23:44:22.103768
21,d58cbd,c81e72,10,2,11,2020-01-18 23:45:00.004781
22,d58cbd,c81e72,12,1,12,2020-01-18 23:45:38.186554
23,9a2f24,eccbc8,1,1,1,2020-02-21 03:19:10.032455
24,9a2f24,eccbc8,4,1,2,2020-02-21 03:19:24.677901
25,9a2f24,eccbc8,4,2,3,2020-02-21 03:19:48.146489
26,9a2f24,eccbc8,7,1,4,2020-02-21 03:20:13.39183
27,9a2f24,eccbc8,7,2,5,2020-02-21 03:20:13.869733
28,9a2f24,eccbc8,10,1,6,2020-02-21 03:20:45.854556
29,9a2f24,eccbc8,11,1,7,2020-02-21 03:21:20.335104
30,9a2f24,eccbc8,12,1,8,2020-02-21 03:21:43.262109
31,9a2f24,eccbc8,13,3,9,2020-02-21 03:22:22.501245
32,7caba5,a87ff6,1,1,1,2020-02-22 17:49:37.646174
33,7caba5,a87ff6,4,1,2,2020-02-22 17:50:23.736729
34,7caba5,a87ff6,5,1,3,2020-02-22 17:50:26.878153
35,7caba5,a87ff6,5,2,4,2020-02-22 17:51:17.963956
36,7caba5,a87ff6,8,1,5,2020-02-22 17:51:53.119277
37,7caba5,a87ff6,9,1,6,2020-02-22 17:52:21.958526
38,7caba5,a87ff6,9,2,7,2020-02-22 17:52:56.251508
39,f61ed7,e4da3b,1,1,1,2020-02-01 06:30:39.766168
40,f61ed7,e4da3b,2,1,2,2020-02-01 06:30:50.502402
41,f61ed7,e4da3b,4,1,3,2020-02-01 06:31:07.364658
42,f61ed7,e4da3b,8,1,4,2020-02-01 06:31:29.54382
43,f61ed7,e4da3b,9,1,5,2020-02-01 06:31:44.967397
44,f61ed7,e4da3b,9,2,6,2020-02-01 06:32:39.425798
45,f61ed7,e4da3b,10,1,7,2020-02-01 06:33:33.068154
46,f61ed7,e4da3b,10,2,8,2020-02-01 06:33:40.811923
47,f61ed7,e4da3b,11,1,9,2020-02-01 06:34:26.510623
48,f61ed7,e4da3b,12,1,10,2020-02-01 06:34:48.74886
49,f61ed7,e4da3b,13,3,11,2020-02-01 06:35:37.730703
50,e0ce49,167909,1,1,1,2020-01-25 22:43:21.482933
51,e0ce49,167909,2,1,2,2020-01-25 22:44:13.045517
52,e0ce49,167909,5,1,3,2020-01-25 22:44:36.389008
53,e0ce49,167909,5,2,4,2020-01-25 22:45:13.949207
54,e0ce49,167909,6,1,5,2020-01-25 22:46:07.060046
55,e0ce49,167909,8,1,6,2020-01-25 22:46:57.057053
56,e0ce49,167909,9,1,7,2020-01-25 22:47:06.641395
57,e0ce49,167909,9,2,8,2020-01-25 22:47:26.459918
58,e0ce49,167909,10,1,9,2020-01-25 22:47:49.388223
59,e0ce49,167909,11,1,10,2020-01-25 22:48:14.396058
60,e0ce49,167909,11,2,11,2020-01-25 22:48:43.041422
61,e0ce49,167909,12,1,12,2020-01-25 22:49:13.988901
