,prod_id,qty,price,discount,member,txn_id,start_txn_time
0,c4a632,4,13,17,t,54f307,2021-02-13 01:59:43.296
1,5d267b,4,40,17,t,54f307,2021-02-13 01:59:43.296
2,b9a74d,4,17,17,t,54f307,2021-02-13 01:59:43.296
3,2feb6b,2,29,17,t,54f307,2021-02-13 01:59:43.296
4,c4a632,5,13,21,t,26cc98,2021-01-19 01:39:00.3456
5,e31d39,2,10,21,t,26cc98,2021-01-19 01:39:00.3456
6,72f5d4,3,19,21,t,26cc98,2021-01-19 01:39:00.3456
7,2a2353,3,57,21,t,26cc98,2021-01-19 01:39:00.3456
8,f084eb,3,36,21,t,26cc98,2021-01-19 01:39:00.3456
9,c4a632,1,13,21,f,ef648d,2021-01-27 02:18:17.1648
10,e83aa3,5,32,21,f,ef648d,2021-01-27 02:18:17.1648
11,d5e9a6,1,23,21,f,ef648d,2021-01-27 02:18:17.1648
12,72f5d4,1,19,21,f,ef648d,2021-01-27 02:18:17.1648
13,5d267b,3,40,21,f,ef648d,2021-01-27 02:18:17.1648
14,f084eb,4,36,21,f,ef648d,2021-01-27 02:18:17.1648
15,b9a74d,4,17,21,f,ef648d,2021-01-27 02:18:17.1648
16,c4a632,2,13,23,t,fba96f,2021-03-03 00:32:56.0544
17,e31d39,5,10,23,t,fba96f,2021-03-03 00:32:56.0544
18,9ec847,3,54,23,t,fba96f,2021-03-03 00:32:56.0544
19,f084eb,4,36,23,t,fba96f,2021-03-03 00:32:56.0544
20,2feb6b,2,29,23,t,fba96f,2021-03-03 00:32:56.0544
21,c4a632,5,13,11,t,4e9268,2021-01-23 14:18:54.0576
22,e31d39,4,10,11,t,4e9268,2021-01-23 14:18:54.0576
23,72f5d4,5,19,11,t,4e9268,2021-01-23 14:18:54.0576
24,f084eb,2,36,11,t,4e9268,2021-01-23 14:18:54.0576
25,b9a74d,2,17,11,t,4e9268,2021-01-23 14:18:54.0576
26,e83aa3,4,32,4,t,9717d4,2021-01-29 07:22:13.2672
27,d5e9a6,2,23,4,t,9717d4,2021-01-29 07:22:13.2672
28,c8d436,4,10,4,t,9717d4,2021-01-29 07:22:13.2672
29,2a2353,1,57,4,t,9717d4,2021-01-29 07:22:13.2672
30,f084eb,1,36,4,t,9717d4,2021-01-29 07:22:13.2672
31,72f5d4,3,19,14,f,e9a1dd,2021-03-28 20:01:43.1328
32,9ec847,3,54,14,f,e9a1dd,2021-03-28 20:01:43.1328
33,2a2353,4,57,14,f,e9a1dd,2021-03-28 20:01:43.1328
34,f084eb,2,36,14,f,e9a1dd,2021-03-28 20:01:43.1328
35,c4a632,3,13,6,f,003ea6,2021-01-20 14:21:00.9792
36,e31d39,3,10,6,f,003ea6,2021-01-20 14:21:00.9792
37,d5e9a6,3,23,6,f,003ea6,2021-01-20 14:21:00.9792
38,9ec847,3,54,6,f,003ea6,2021-01-20 14:21:00.9792
39,e31d39,5,10,20,f,5d749c,2021-03-28 22:24:25.8048
40,d5e9a6,4,23,20,f,5d749c,2021-03-28 22:24:25.8048
41,5d267b,5,40,20,f,5d749c,2021-03-28 22:24:25.8048
42,2a2353,4,57,20,f,5d749c,2021-03-28 22:24:25.8048
43,f084eb,2,36,20,f,5d749c,2021-03-28 22:24:25.8048
44,d5e9a6,5,23,14,f,cf6517,2021-02-21 21:45:33.3504
45,72f5d4,1,19,14,f,cf6517,2021-02-21 21:45:33.3504
46,5d267b,5,40,14,f,cf6517,2021-02-21 21:45:33.3504
47,b9a74d,3,17,14,f,cf6517,2021-02-21 21:45:33.3504
48,c4a632,5,13,19,t,48b9d7,2021-02-26 06:49:17.3856
49,e83aa3,2,32,19,t,48b9d7,2021-02-26 06:49:17.3856
50,e31d39,1,10,19,t,48b9d7,2021-02-26 06:49:17.3856
51,d5e9a6,2,23,19,t,48b9d7,2021-02-26 06:49:17.3856
52,5d267b,5,40,19,t,48b9d7,2021-02-26 06:49:17.3856
53,c8d436,1,10,19,t,48b9d7,2021-02-26 06:49:17.3856
54,2a2353,3,57,19,t,48b9d7,2021-02-26 06:49:17.3856
55,b9a74d,1,17,19,t,48b9d7,2021-02-26 06:49:17.3856
56,2feb6b,5,29,19,t,48b9d7,2021-02-26 06:49:17.3856
57,72f5d4,3,19,5,t,47251d,2021-01-27 22:53:10.7808
58,5d267b,5,40,5,t,47251d,2021-01-27 22:53:10.7808
59,2a2353,5,57,5,t,47251d,2021-01-27 22:53:10.7808
60,f084eb,2,36,5,t,47251d,2021-01-27 22:53:10.7808
61,e83aa3,4,32,15,f,c75ea6,2021-03-03 04:17:19.8528
62,e31d39,5,10,15,f,c75ea6,2021-03-03 04:17:19.8528
63,72f5d4,2,19,15,f,c75ea6,2021-03-03 04:17:19.8528
